Kategória,Név,Latin név,Védett,Természetvédelmi státusz,Természetvédelmi érték (Ft),Wikipedia link
Emlősök,Kelet-európai sün,Erinaceus europaeus roumanicus Barr.-Ham.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Kelet-európai_sün
Emlősök,Vakondok,Talpa europaea L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Vakondok
Emlősök,Mezei cickány,Crocidura leucodon Hermann,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Mezei_cickány
Emlősök,Kései denevér,Eptesicus serotinus Schreber,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Kései_denevér
Emlősök,Mezei nyúl,Lepus europaeus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Mezei_nyúl
Emlősök,Törpeegér,Micromys minutus Pallas,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Törpeegér
Emlősök,Pirókegér,Apodemus agrarius Pallas,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Pirókegér
Emlősök,Güzüegér,Mus musculus spicilegus Petényi,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Güzüegér
Emlősök,Hörcsög,Cricetus cricetus L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Mezei_hörcsög
Emlősök,Pézsmapocok,Ondatra zibethica L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Pézsmapocok
Emlősök,Kószapocok,Arvicola terrestris schermani Shaw,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Kószapocok
Emlősök,Mezei pocok,Arvicola terrestris Pallas,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Mezei_pocok
Emlősök,Róka,Vulpes vulpes L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Vörös_róka
Emlősök,Menyét,Mustela nivalis L.,Védett,Nem fenyegetett,25000,https://hu.wikipedia.org/wiki/Menyét
Emlősök,Görény,Mustela putorius L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Közönséges_görény
Emlősök,Vidra,Lutra lutra L.,Fokozottan védett,Mérsékelten fenyegetett,250000,https://hu.wikipedia.org/wiki/Európai_vidra
Emlősök,Őz,Capreolus capreolus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Európai_őz
Emlősök,Közönséges ürge,Spermophilus citellus,Igen,Sebezhető,250000,https://hu.wikipedia.org/wiki/Közönséges_ürge
Halak,Csuka,Esox lucius L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Csuka
Halak,Vörösszárnyú keszeg,Scardinius erythrophthalmus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Vörösszárnyú_keszeg
Halak,Compó,Tinca tinca L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Compó
Halak,Gyöngyös razbora,Pseudorasbora parva Schlegel,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Gyöngyös_razbora
Halak,Fehér busa,Hypophtalmichthys molitrix Valenciennes,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Fehér_busa
Halak,Pettyes busa,Aristichthys nobilis Richardson,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Pettyes_busa
Halak,Szivárványos ökle,Rhodeus sericeus amarus Bloch,Védett,Nem fenyegetett,5000,https://hu.wikipedia.org/wiki/Szivárványos_ökle
Halak,Kárász,Carassius carassius L.,Védett,Sebezhető,50000,https://hu.wikipedia.org/wiki/Széles_kárász
Halak,Ezüstkárász,Carassius aurata gibelio Bloch,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Ezüstkárász
Halak,Ponty,Cyprinus carpio L.,Nem,Sebezhető (vadon),0,https://hu.wikipedia.org/wiki/Ponty
Halak,Réticsík,Misgurnus fossilis L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Réticsík
Halak,Harcsa,Silurus glanis L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Európai_harcsa
Halak,Naphal,Lepomis gibbosus L.,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Naphal
Halak,Vágó durbincs,Acerina cernua L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Vágó_durbincs
Hüllők,Mocsári teknős,Emys orbicularis L.,Védett,Mérsékelten fenyegetett,50000,https://hu.wikipedia.org/wiki/Mocsári_teknős
Hüllők,Fürge gyík,Lacerta agilis L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Fürge_gyík
Hüllők,Homoki gyík,Lacerta taurica L.,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Homoki_gyík
Hüllők,Zöld gyík,Lacerta viridis L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Zöld_gyík
Hüllők,Vízisikló,Natrix natrix L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Vízisikló
Kategória,Név,Latin név,Védett,Természetvédelmi státusz,Természetvédelmi érték (Ft),Wikipedia link
Kétéltűek,Pettyes gőte,Triturus vulgaris L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Pettyes_gőte
Kétéltűek,Tarajos gőte,Triturus cristatus Laurenti,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Közönséges_tarajos_gőte
Kétéltűek,Vöröshasú unka,Bombina bombina L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Vöröshasú_unka
Kétéltűek,Barna ásóbéka,Pelobates fuscus Laurenti,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Barna_ásóbéka
Kétéltűek,Zöld varangy,Bufo viridis Laurenti,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Zöld_varangy
Kétéltűek,Zöld levelibéka,Hyla arborea L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Zöld_levelibéka
Kétéltűek,Mocsári béka,Rana arvalis Wolterstorffi Fejérvári,Védett,Nem fenyegetett,50000,https://hu.wikipedia.org/wiki/Mocsári_béka
Kétéltűek,Kecskebéka,Rana esculenta L.,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Kecskebéka
Kétéltűek,Tavi béka,Rana ridibunda Pallas,Védett,Nem fenyegetett,10000,https://hu.wikipedia.org/wiki/Tavi_béka
Lepkék,Százaranyas bagolylepke,Oxytripia orbiculosa,Igen,Kihaltnak vélt/Eltűnt,250000,https://en.wikipedia.org/wiki/Oxytripia_orbiculosa
Lepkék,Noctua haywardi,Noctua haywardi,Nem,Ritka/Adathiányos,0,https://hu.wikipedia.org/wiki/Noctua_haywardi
Lepkék,Kéköves bagolylepke,Catocala fraxini,Nem,Nem fenyegetett,2000,https://hu.wikipedia.org/wiki/Kéköves_bagolylepke
Lepkék,Pompás aranybagoly,Plusia zosimi,Igen,Védett,10000,https://hu.wikipedia.org/wiki/Pompás_aranybagoly
Lepkék,Nyárfa-pirosbagoly,Archiearis puella,Nem,Helyileg gyakori,0,https://hu.wikipedia.org/wiki/Nyárfa-pirosbagoly
Lepkék,Ékes kisaraszoló,Scopula decorata,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Ékes_kisaraszoló
Lepkék,Spudea ruticilla,Spudea ruticilla,Nem,Ritka,0,https://hu.wikipedia.org/wiki/Spudea_ruticilla
Lepkék,Apamea unanimis,Apamea unanimis,Nem,Ritka,0,https://hu.wikipedia.org/wiki/Apamea_unanimis
Lepkék,Cucullia lychnitis,Cucullia lychnitis,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Cucullia_lychnitis
Lepkék,Cucullia verbasci,Cucullia verbasci,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Cucullia_verbasci
Lepkék,Cucullia asteris,Cucullia asteris,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Cucullia_asteris
Lepkék,Cucullia tanaceti,Cucullia tanaceti,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Cucullia_tanaceti
Lepkék,Hermelin-púposszövő,Cerura erminea,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Hermelin-púposszövő
Lepkék,Pyrgus armoricanus,Pyrgus armoricanus,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Pyrgus_armoricanus
Lepkék,Sárga kéneslepke,Colias croceus,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Sárga_kéneslepke
Lepkék,Keleti kéneslepke,Colias erate,Nem,Nem fenyegetett,0,https://hu.wikipedia.org/wiki/Keleti_kéneslepke
