Tanösvény neve,Település / Helyszín,Hossz (km),Link
Aqua Colun tanösvény,Izsák (Kolon-tó),3.5,https://www.knp.hu/hu/izsak-kolon-to-aqua-colun-tanosveny
Báránypirosító tanösvény,Fülöpházi-buckavidék,2.4,https://www.knp.hu/hu/fulophazi-buckavidek-baranypirosito-tanosveny
Bikatorok tanösvény,Izsák (Kolon-tó),3,https://www.knp.hu/hu/izsak-kolon-to-bikatorok-tanosveny
Bölömbika tanösvény,Mórahalom (Nagyszéksós-tó),2.5,https://www.knp.hu/hu/morahalom-nagyszeksos-to-bolombika-tanosveny
Boróka tanösvény,Bugac,4,https://www.knp.hu/hu/bugac-boroka-tanosveny
Csipak tanösvény,Mórahalom (Csipak-semlyék),4,https://www.knp.hu/hu/morahalom-nagyszeksos-to-csipak-tanosveny
Csodarét tanösvény,Ásotthalom,4,https://www.knp.hu/hu/asotthalom-csodaret-tanosveny
Fejeték tanösvény,Kiskunhalas,1.5,https://www.knp.hu/hu/kiskunhalas-fejetek-tanosveny
Garmada tanösvény,Fülöpházi-buckavidék,4,https://www.knp.hu/hu/fulophazi-homokbuckak-garmada-tanosveny
Kontyvirág tanösvény,Lakitelek (Tőserdő),3.5,https://www.knp.hu/hu/lakitelek-toserdo-kontyvirag-tanosveny
Kosbor tanösvény,Kunadacs,4,https://www.knp.hu/hu/kunadacs-kosbor-tanosveny
Meizl Ferenc tanösvény,Petőfiszállás (Péteri-tó),3.5,https://www.knp.hu/hu/petofiszallas-meizl-ferenc-tanosveny
Nádirigó tanösvény,Tiszakécske,2.5,https://www.knp.hu/hu/tiszakecske-nadirigo-tanosveny
Orchidea tanösvény,Páhi,3,https://www.knp.hu/hu/pahi-orchidea-tanosveny
Rákosi vipera tanösvény,Kunadacs,1.5,https://www.knp.hu/hu/rakosi-vipera-tanosveny
Réce tanösvény,Apaj,2,https://www.knp.hu/hu/apaj-rece-tanosveny
Sirály tanösvény,Szatymaz (Szegedi Fehér-tó),2,https://www.knp.hu/hu/szatymaz-szegedi-feher-to-siraly-tanosveny
Tartós szegfű tanösvény,Bodoglár,2.1,https://www.knp.hu/hu/bodoglar-tartos-szegfu-tanosveny
Varangykő tanösvény,Csólyospálos,0.6,https://www.knp.hu/hu/csolyospalosi-varangyko-tanosveny
Vöcsök tanösvény,Pálmonostora (Péteri-tó),3.5,https://www.knp.hu/hu/palmonostora-peteri-to-vocsok-tanosveny
Vörös-mocsár tanösvény,Császártöltés,2.5,https://www.knp.hu/hu/csaszartoltesi-voros-mocsar-tanosveny
