Település,Vármegye,Rang,Lakosságszám (fő),Wikipedia link
Ágasegyháza,Bács-Kiskun,Község,1850,https://hu.wikipedia.org/wiki/Ágasegyháza
Albertirsa,Pest,Város,12710,https://hu.wikipedia.org/wiki/Albertirsa
Alsónémedi,Pest,Nagyközség,5420,https://hu.wikipedia.org/wiki/Alsónémedi
Ásotthalom,Csongrád-Csanád,Nagyközség,3720,https://hu.wikipedia.org/wiki/Ásotthalom
Bácsszőlős,Bács-Kiskun,Község,320,https://hu.wikipedia.org/wiki/Bácsszőlős
Balástya,Csongrád-Csanád,Község,3240,https://hu.wikipedia.org/wiki/Balástya
Ballószög,Bács-Kiskun,Község,4010,https://hu.wikipedia.org/wiki/Ballószög
Balotaszállás,Bács-Kiskun,Község,1450,https://hu.wikipedia.org/wiki/Balotaszállás
Bócsa,Bács-Kiskun,Község,2552,https://hu.wikipedia.org/wiki/Bócsa
Bordány,Csongrád-Csanád,Község,3340,https://hu.wikipedia.org/wiki/Bordány
Borota,Bács-Kiskun,Község,1230,https://hu.wikipedia.org/wiki/Borota
Bugac,Bács-Kiskun,Nagyközség,2546,https://hu.wikipedia.org/wiki/Bugac
Bugacpusztaháza,Bács-Kiskun,Község,250,https://hu.wikipedia.org/wiki/Bugacpusztaháza
Bugyi,Pest,Nagyközség,5130,https://hu.wikipedia.org/wiki/Bugyi_(település)
Cegléd,Pest,Város,35152,https://hu.wikipedia.org/wiki/Cegléd
Ceglédbercel,Pest,Község,4180,https://hu.wikipedia.org/wiki/Ceglédbercel
Császártöltés,Bács-Kiskun,Község,2130,https://hu.wikipedia.org/wiki/Császártöltés
Csávoly,Bács-Kiskun,Község,1730,https://hu.wikipedia.org/wiki/Csávoly
Csemő,Pest,Község,4480,https://hu.wikipedia.org/wiki/Csemő
Csengele,Csongrád-Csanád,Község,1930,https://hu.wikipedia.org/wiki/Csengele
Csengőd,Bács-Kiskun,Község,1930,https://hu.wikipedia.org/wiki/Csengőd
Csikéria,Bács-Kiskun,Község,810,https://hu.wikipedia.org/wiki/Csikéria
Csólyospálos,Bács-Kiskun,Község,1580,https://hu.wikipedia.org/wiki/Csólyospálos
Dabas,Pest,Város,17210,https://hu.wikipedia.org/wiki/Dabas
Dánszentmiklós,Pest,Község,2840,https://hu.wikipedia.org/wiki/Dánszentmiklós
Domaszék,Csongrád-Csanád,Község,5110,https://hu.wikipedia.org/wiki/Domaszék
Dunaharaszti,Pest,Város,23210,https://hu.wikipedia.org/wiki/Dunaharaszti
Érsekcsanád,Bács-Kiskun,Község,2615,https://hu.wikipedia.org/wiki/Érsekcsanád
Érsekhalma,Bács-Kiskun,Község,530,https://hu.wikipedia.org/wiki/Érsekhalma
Felsőlajos,Bács-Kiskun,Község,980,https://hu.wikipedia.org/wiki/Felsőlajos
Forráskút,Csongrád-Csanád,Község,2210,https://hu.wikipedia.org/wiki/Forráskút
Fülöpháza,Bács-Kiskun,Község,890,https://hu.wikipedia.org/wiki/Fülöpháza
Fülöpjakab,Bács-Kiskun,Község,1110,https://hu.wikipedia.org/wiki/Fülöpjakab
Fülöpszállás,Bács-Kiskun,Község,2110,https://hu.wikipedia.org/wiki/Fülöpszállás
Hajós,Bács-Kiskun,Város,2813,https://hu.wikipedia.org/wiki/Hajós
Harkakötöny,Bács-Kiskun,Község,810,https://hu.wikipedia.org/wiki/Harkakötöny
Helvécia,Bács-Kiskun,Nagyközség,4875,https://hu.wikipedia.org/wiki/Helvécia
